acq_date,count,max_brightness,max_bright_t31,max_frp,state
2019-11-06,1,42,28,9.5,Australian Capital Territory
2020-01-01,1,28,10,7.1,Australian Capital Territory
2020-01-02,3,56,28,29.4,Australian Capital Territory
2020-01-03,9,86,38,137.6,Australian Capital Territory
2020-01-04,5,124,52,225.2,Australian Capital Territory
2020-01-10,1,43,30,14.6,Australian Capital Territory
2020-01-11,15,98,42,115.3,Australian Capital Territory
